time,ICR,pctl_5y,pctl_10y,zscore_level,delta_4q,delta_delta,slope_4q,delta_zscore,consecutive_declines
2010-09-30,4.395395538265958,40.0,57.49999999999999,-0.0929045559460989,1.2255217918620427,0.031691743705072106,0.39136093921605947,0.9031214777530132,0.0
2010-10-31,4.429059301413002,45.0,60.0,-0.08710174321139376,1.1433805132129433,-0.08214127864909937,0.27783795935146993,0.8049093284852421,0.0
2010-11-30,4.429059301413002,45.0,60.0,-0.08710174321139376,1.1433805132129433,-0.08214127864909937,0.27783795935146993,0.8049093284852421,0.0
2010-12-31,4.429059301413002,45.0,60.0,-0.08710174321139376,1.1433805132129433,-0.08214127864909937,0.27783795935146993,0.8049093284852421,0.0
2011-01-31,4.607332311682188,50.0,60.0,-0.0038509905066012977,1.027398634925348,-0.11598187828759521,0.13624822420343766,0.686081493560114,0.0
2011-02-28,4.607332311682188,50.0,60.0,-0.0038509905066012977,1.027398634925348,-0.11598187828759521,0.13624822420343766,0.686081493560114,0.0
2011-03-31,4.607332311682188,50.0,60.0,-0.0038509905066012977,1.027398634925348,-0.11598187828759521,0.13624822420343766,0.686081493560114,0.0
2011-04-30,4.455051736529305,50.0,57.49999999999999,-0.11801488651629645,0.290658917809564,-0.7367397171157841,0.035724160505922,0.12834958152472975,1.0
2011-05-31,4.455051736529305,50.0,57.49999999999999,-0.11801488651629645,0.290658917809564,-0.7367397171157841,0.035724160505922,0.12834958152472975,1.0
2011-06-30,4.455051736529305,50.0,57.49999999999999,-0.11801488651629645,0.290658917809564,-0.7367397171157841,0.035724160505922,0.12834958152472975,1.0
2011-07-31,4.287154595454244,40.0,47.5,-0.24557240857645518,-0.10824094281171348,-0.39889986062127747,-0.05779946930291632,-0.18080601877516964,2.0
2011-08-31,4.287154595454244,40.0,47.5,-0.24557240857645518,-0.10824094281171348,-0.39889986062127747,-0.05779946930291632,-0.18080601877516964,2.0
2011-09-30,4.287154595454244,40.0,47.5,-0.24557240857645518,-0.10824094281171348,-0.39889986062127747,-0.05779946930291632,-0.18080601877516964,2.0
2011-10-31,4.560663220157422,60.0,57.49999999999999,-0.11108026790420107,0.13160391874442023,0.23984486155613371,-0.03079044156493672,-0.022371316563819292,0.0
2011-11-30,4.560663220157422,60.0,57.49999999999999,-0.11108026790420107,0.13160391874442023,0.23984486155613371,-0.03079044156493672,-0.022371316563819292,0.0
2011-12-31,4.560663220157422,60.0,57.49999999999999,-0.11108026790420107,0.13160391874442023,0.23984486155613371,-0.03079044156493672,-0.022371316563819292,0.0
2012-01-31,4.475257667023593,60.0,55.00000000000001,-0.2008896008948581,-0.1320746446585952,-0.26367856340301543,0.03341264161860371,-0.2313487814232116,1.0
