,icr_pctl,delta_zscore,trigger_level,fuel_level,fuel_speed,risk_score,state
2015-07-31,52.5,-0.03674580265032111,0.5333333333333333,0.0,0.018372901325160555,0.24827016557315712,NORMAL
2015-08-31,52.5,-0.03674580265032111,0.5833333333333334,0.0,0.018372901325160555,0.2709974383004299,NORMAL
2015-09-30,52.5,-0.03674580265032111,0.7333333333333333,0.0,0.018372901325160555,0.339179256482248,ELEVATED_RISK
2015-10-31,57.49999999999999,-0.18030426594407178,0.6,0.0,0.09015213297203589,0.30141204230928414,NORMAL
2015-11-30,57.49999999999999,-0.18030426594407178,0.6833333333333332,0.0,0.09015213297203589,0.339290830188072,ELEVATED_RISK
2015-12-31,57.49999999999999,-0.18030426594407178,0.7583333333333333,0.0,0.09015213297203589,0.3733817392789811,ELEVATED_RISK
2016-01-31,50.0,-0.357191405775011,0.85,0.0,0.1785957028875055,0.4431895418278426,ELEVATED_RISK
2016-02-29,50.0,-0.357191405775011,0.8416666666666667,0.0,0.1785957028875055,0.4394016630399638,ELEVATED_RISK
2016-03-31,50.0,-0.357191405775011,0.7666666666666667,0.0,0.1785957028875055,0.40531075394905475,ELEVATED_RISK
2016-04-30,42.5,-0.6601847804617842,0.6166666666666667,0.0,0.3300923902308921,0.3853324271946778,ELEVATED_RISK
2016-05-31,42.5,-0.6601847804617842,0.5666666666666667,0.0,0.3300923902308921,0.36260515446740504,NORMAL
2016-06-30,42.5,-0.6601847804617842,0.6083333333333333,0.0,0.3300923902308921,0.38154454840679897,ELEVATED_RISK
2016-07-31,47.5,-0.07809401672375994,0.49166666666666664,0.0,0.03904700836187997,0.2359088965999921,NORMAL
2016-08-31,47.5,-0.07809401672375994,0.4,0.0,0.03904700836187997,0.19424222993332543,NORMAL
2016-09-30,47.5,-0.07809401672375994,0.35,0.0,0.03904700836187997,0.1715149572060527,NORMAL
2016-10-31,47.5,-0.09287911369094433,0.33333333333333326,0.0,0.046439556845472164,0.1662913741478017,NORMAL
2016-11-30,47.5,-0.09287911369094433,0.25,0.0,0.046439556845472164,0.12841258626901386,NORMAL
2016-12-31,47.5,-0.09287911369094433,0.15,0.0,0.046439556845472164,0.0829580408144684,NORMAL
2017-01-31,45.0,-0.14319488764719873,0.1,0.0,0.07159744382359937,0.06823555030750889,NORMAL
2017-02-28,45.0,-0.14319488764719873,0.06666666666666667,0.0,0.07159744382359937,0.053084035155993727,NORMAL
2017-03-31,45.0,-0.14319488764719873,0.09166666666666666,0.0,0.07159744382359937,0.06444767151963009,NORMAL
2017-04-30,40.0,0.2072296387583882,0.06666666666666667,0.0,0.0,0.0303030303030303,NORMAL
2017-05-31,40.0,0.2072296387583882,0.04166666666666666,0.0,0.0,0.018939393939393933,NORMAL
2017-06-30,40.0,0.2072296387583882,0.05,0.0,0.0,0.022727272727272728,NORMAL
2017-07-31,52.5,0.18663240573419568,0.008333333333333333,0.0,0.0,0.0037878787878787876,NORMAL
2017-08-31,52.5,0.18663240573419568,0.09166666666666666,0.0,0.0,0.04166666666666666,NORMAL
2017-09-30,52.5,0.18663240573419568,0.008333333333333333,0.0,0.0,0.0037878787878787876,NORMAL
2017-10-31,50.0,0.14993551836765387,0.0,0.0,0.0,0.0,NORMAL
2017-11-30,50.0,0.14993551836765387,0.025,0.0,0.0,0.011363636363636364,NORMAL
2017-12-31,50.0,0.14993551836765387,0.04166666666666666,0.0,0.0,0.018939393939393933,NORMAL
2018-01-31,50.0,0.1794806095110985,0.0,0.0,0.0,0.0,NORMAL
2018-02-28,50.0,0.1794806095110985,0.008333333333333333,0.0,0.0,0.0037878787878787876,NORMAL
2018-03-31,50.0,0.1794806095110985,0.08333333333333331,0.0,0.0,0.037878787878787866,NORMAL
2018-04-30,22.5,-0.3445496696475102,0.008333333333333333,0.25,0.1722748348237551,0.11542078077725541,NORMAL
2018-05-31,22.5,-0.3445496696475102,0.06666666666666667,0.25,0.1722748348237551,0.1419359322924069,NORMAL
2018-06-30,22.5,-0.3445496696475102,0.09166666666666666,0.25,0.1722748348237551,0.15329956865604327,NORMAL
2018-07-31,40.0,-0.3860772332351609,0.008333333333333333,0.0,0.19303861661758046,0.06520925680256347,NORMAL
2018-08-31,40.0,-0.3860772332351609,0.03333333333333333,0.0,0.19303861661758046,0.07657289316619982,NORMAL
2018-09-30,40.0,-0.3860772332351609,0.0,0.0,0.19303861661758046,0.061421378014684676,NORMAL
2018-10-31,55.00000000000001,-0.010528984399271022,0.175,0.0,0.005264492199635511,0.08122052024533856,NORMAL
2018-11-30,55.00000000000001,-0.010528984399271022,0.275,0.0,0.005264492199635511,0.12667506569988402,NORMAL
2018-12-31,55.00000000000001,-0.010528984399271022,0.525,0.0,0.005264492199635511,0.24031142933624766,NORMAL
2019-01-31,45.0,-0.18763336161861557,0.3,0.0,0.09381668080930779,0.1662143984393252,NORMAL
2019-02-28,45.0,-0.18763336161861557,0.21666666666666667,0.0,0.09381668080930779,0.12833561056053733,NORMAL
2019-03-31,45.0,-0.18763336161861557,0.25833333333333336,0.0,0.09381668080930779,0.14727500449993128,NORMAL
2019-04-30,30.0,0.2754514473063959,0.14166666666666666,0.0,0.0,0.06439393939393939,NORMAL
2019-05-31,30.0,0.2754514473063959,0.36666666666666664,0.0,0.0,0.16666666666666663,NORMAL
2019-06-30,30.0,0.2754514473063959,0.275,0.0,0.0,0.125,NORMAL
2019-07-31,10.0,-0.8700650749117088,0.24166666666666667,0.6666666666666666,0.4350325374558544,0.39978308009958996,BUFFER_LOW
2019-08-31,10.0,-0.8700650749117088,0.2916666666666667,0.6666666666666666,0.4350325374558544,0.4225103528268627,BUFFER_LOW
2019-09-30,10.0,-0.8700650749117088,0.26666666666666666,0.6666666666666666,0.4350325374558544,0.41114671646322637,BUFFER_LOW
2019-10-31,7.5,-1.421467280129237,0.30833333333333335,0.75,0.7107336400646185,0.5367485824448027,ELEVATED_RISK
