as_of_date,V5_TDSP,zscore_level,pctl_5y,pctl_10y,delta_4q,delta_8q,delta_4q_zscore,delta_8q_zscore,yoy_pct
2008-12-31,15.546547,1.3684928487702157,80.0,90.0,-0.16557599999999972,0.17931899999999956,-0.7453863461257647,-0.6332956091684183,-1.0538104876088306
2009-01-31,15.72136,1.3985119859353556,90.0,95.0,-0.1250070000000001,0.2116490000000013,-0.6930534318561817,-0.6157671367724176,-0.7888685147832364
2009-02-28,15.72136,1.3985119859353556,90.0,95.0,-0.1250070000000001,0.2116490000000013,-0.6930534318561817,-0.6157671367724176,-0.7888685147832364
2009-03-31,15.72136,1.3985119859353556,90.0,95.0,-0.1250070000000001,0.2116490000000013,-0.6930534318561817,-0.6157671367724176,-0.7888685147832364
2009-04-30,15.5975,1.259327833142674,75.0,87.5,-0.1783570000000001,0.07089299999999987,-0.7450580471674363,-0.7519312813937593,-1.1305693250135307
2009-05-31,15.5975,1.259327833142674,75.0,87.5,-0.1783570000000001,0.07089299999999987,-0.7450580471674363,-0.7519312813937593,-1.1305693250135307
2009-06-30,15.5975,1.259327833142674,75.0,87.5,-0.1783570000000001,0.07089299999999987,-0.7450580471674363,-0.7519312813937593,-1.1305693250135307
2009-07-31,15.251967,1.0008094433817043,45.0,72.5,-0.0746450000000003,-0.3805429999999994,-0.6048818724513393,-1.15019439941171,-0.4870287053655442
2009-08-31,15.251967,1.0008094433817043,45.0,72.5,-0.0746450000000003,-0.3805429999999994,-0.6048818724513393,-1.15019439941171,-0.4870287053655442
2009-09-30,15.251967,1.0008094433817043,45.0,72.5,-0.0746450000000003,-0.3805429999999994,-0.6048818724513393,-1.15019439941171,-0.4870287053655442
2009-10-31,15.08588,0.8556671277410529,35.0,67.5,-0.4606670000000008,-0.6262430000000005,-1.0332055157806879,-1.3321096190079453,-2.9631467360565766
2009-11-30,15.08588,0.8556671277410529,35.0,67.5,-0.4606670000000008,-0.6262430000000005,-1.0332055157806879,-1.3321096190079453,-2.9631467360565766
2009-12-31,15.08588,0.8556671277410529,35.0,67.5,-0.4606670000000008,-0.6262430000000005,-1.0332055157806879,-1.3321096190079453,-2.9631467360565766
2010-01-31,14.896385,0.699701636015449,15.0,57.49999999999999,-0.8249750000000002,-0.9499820000000003,-1.397631171227086,-1.5519634333868277,-5.247478589638554
2010-02-28,14.896385,0.699701636015449,15.0,57.49999999999999,-0.8249750000000002,-0.9499820000000003,-1.397631171227086,-1.5519634333868277,-5.247478589638554
2010-03-31,14.896385,0.699701636015449,15.0,57.49999999999999,-0.8249750000000002,-0.9499820000000003,-1.397631171227086,-1.5519634333868277,-5.247478589638554
2010-04-30,14.51494,0.4258634856911194,0.0,50.0,-1.0825600000000009,-1.260917000000001,-1.6021736617694666,-1.7211184422053092,-6.940599455040875
2010-05-31,14.51494,0.4258634856911194,0.0,50.0,-1.0825600000000009,-1.260917000000001,-1.6021736617694666,-1.7211184422053092,-6.940599455040875
2010-06-30,14.51494,0.4258634856911194,0.0,50.0,-1.0825600000000009,-1.260917000000001,-1.6021736617694666,-1.7211184422053092,-6.940599455040875
2010-07-31,14.069775,0.10729643414967084,0.0,47.5,-1.1821920000000006,-1.2568370000000009,-1.6157981203252256,-1.621487608395285,-7.75107892640996
2010-08-31,14.069775,0.10729643414967084,0.0,47.5,-1.1821920000000006,-1.2568370000000009,-1.6157981203252256,-1.621487608395285,-7.75107892640996
2010-09-30,14.069775,0.10729643414967084,0.0,47.5,-1.1821920000000006,-1.2568370000000009,-1.6157981203252256,-1.621487608395285,-7.75107892640996
2010-10-31,13.917807,-0.025818471568316063,0.0,45.0,-1.1680729999999997,-1.6287400000000005,-1.5130259181972818,-1.796758423936068,-7.7428230902009005
2010-11-30,13.917807,-0.025818471568316063,0.0,45.0,-1.1680729999999997,-1.6287400000000005,-1.5130259181972818,-1.796758423936068,-7.7428230902009005
2010-12-31,13.917807,-0.025818471568316063,0.0,45.0,-1.1680729999999997,-1.6287400000000005,-1.5130259181972818,-1.796758423936068,-7.7428230902009005
2011-01-31,13.580863,-0.2820905240027379,0.0,42.5,-1.3155219999999996,-2.140497,-1.5691621604413732,-2.0216655767340197,-8.831149302330733
2011-02-28,13.580863,-0.2820905240027379,0.0,42.5,-1.3155219999999996,-2.140497,-1.5691621604413732,-2.0216655767340197,-8.831149302330733
2011-03-31,13.580863,-0.2820905240027379,0.0,42.5,-1.3155219999999996,-2.140497,-1.5691621604413732,-2.0216655767340197,-8.831149302330733
2011-04-30,13.30846,-0.4959472386431207,0.0,40.0,-1.206479999999999,-2.28904,-1.3786920155473386,-1.966049891245392,-8.311987510799213
2011-05-31,13.30846,-0.4959472386431207,0.0,40.0,-1.206479999999999,-2.28904,-1.3786920155473386,-1.966049891245392,-8.311987510799213
2011-06-30,13.30846,-0.4959472386431207,0.0,40.0,-1.206479999999999,-2.28904,-1.3786920155473386,-1.966049891245392,-8.311987510799213
2011-07-31,13.057706,-0.6893128903231097,0.0,37.5,-1.0120690000000003,-2.194261000000001,-1.1272543983806418,-1.7693017293525672,-7.193213821827293
2011-08-31,13.057706,-0.6893128903231097,0.0,37.5,-1.0120690000000003,-2.194261000000001,-1.1272543983806418,-1.7693017293525672,-7.193213821827293
2011-09-30,13.057706,-0.6893128903231097,0.0,37.5,-1.0120690000000003,-2.194261000000001,-1.1272543983806418,-1.7693017293525672,-7.193213821827293
2011-10-31,12.944597,-0.7882281993711338,0.0,35.0,-0.9732099999999999,-2.1412829999999996,-1.040296494296152,-1.6264533380803003,-6.992552777890937
2011-11-30,12.944597,-0.7882281993711338,0.0,35.0,-0.9732099999999999,-2.1412829999999996,-1.040296494296152,-1.6264533380803003,-6.992552777890937
2011-12-31,12.944597,-0.7882281993711338,0.0,35.0,-0.9732099999999999,-2.1412829999999996,-1.040296494296152,-1.6264533380803003,-6.992552777890937
