as_of_date,V2_Ratio,zscore_level,pctl_5y,pctl_10y,delta_12m,delta_24m,delta_12m_zscore,delta_24m_zscore,yoy_pct
2013-11-30,37.26391856303658,1.2358541557096032,98.33333333333333,99.16666666666667,17.41458352458234,17.576022063053166,2.82613045716533,2.668246597021635,87.73383839229353
2013-12-30,37.26391856303658,1.225907268004068,96.66666666666667,98.33333333333333,17.41458352458234,17.576022063053166,2.7307054904329484,2.5789488915478924,87.73383839229353
2014-01-31,38.75593993335373,1.4250680675811607,100.0,100.0,18.975764447237452,19.520374840725516,2.8536283722332803,2.7396113839303893,95.93324619671124
2014-02-28,38.75593993335373,1.4095450025253873,98.33333333333333,99.16666666666667,18.975764447237452,19.520374840725516,2.7470415528096495,2.6453358871487582,95.93324619671124
2014-03-30,38.75593993335373,1.394335806846614,96.66666666666667,98.33333333333333,18.975764447237452,19.520374840725516,2.6500873732213748,2.560177996103086,95.93324619671124
2014-04-30,39.521061727084025,1.4833891374161252,100.0,100.0,17.931589918728907,20.11171004243317,2.423706929302106,2.551621087682086,83.05710337845962
2014-05-30,39.521061727084025,1.4647919681391364,98.33333333333333,99.16666666666667,17.931589918728907,20.11171004243317,2.349843128892889,2.4747372911380086,83.05710337845962
2014-06-30,39.521061727084025,1.4466351212678494,96.66666666666667,98.33333333333333,17.931589918728907,20.11171004243317,2.2811919951391824,2.4033617584240035,83.05710337845962
2014-07-31,39.156878043757175,1.3820581823310654,95.0,97.5,3.0212696170801365,19.73111527539162,0.3304424693422013,2.299535108961644,8.360920844077135
2014-08-28,39.156878043757175,1.3680416070415222,93.33333333333333,96.66666666666667,3.0212696170801365,19.73111527539162,0.3292960852271322,2.2438053164308602,8.360920844077135
2014-09-30,39.156878043757175,1.3542840397148863,91.66666666666666,95.83333333333334,3.0212696170801365,19.73111527539162,0.32815074297336627,2.1912177848186865,8.360920844077135
2014-10-30,40.23761340738669,1.4839128129753174,100.0,100.0,2.9736948443501063,20.388278368932447,0.3197832644935141,2.20956506610578,7.98009162487765
2014-11-30,40.23761340738669,1.467326039217558,98.33333333333333,99.16666666666667,2.9736948443501063,20.388278368932447,0.317634263015355,2.1581961955876214,7.98009162487765
2014-12-30,40.23761340738669,1.451094106325813,96.66666666666667,98.33333333333333,2.9736948443501063,20.388278368932447,0.3154883384855138,2.1095639374737334,7.98009162487765
2015-01-31,39.99877797529601,1.4061578566095514,95.0,97.5,1.242838041942278,20.21860248917973,0.09028343994455625,2.0447979655418576,3.2068324083469824
2015-02-28,39.99877797529601,1.3931763083666497,93.33333333333333,96.66666666666667,1.242838041942278,20.21860248917973,0.09093224907126217,2.000183762197921,3.2068324083469824
2015-03-30,39.99877797529601,1.3804183144027216,91.66666666666666,95.83333333333334,1.242838041942278,20.21860248917973,0.091581205144888,1.9577223805476809,3.2068324083469824
2015-04-30,40.96927170916823,1.4924613768972688,100.0,100.0,1.448209982084208,19.379799900813115,0.11999153233012703,1.8369331622925755,3.6644004963352073
2015-05-30,40.96927170916823,1.478036923064908,98.33333333333333,99.16666666666667,1.448209982084208,19.379799900813115,0.1215982637924739,1.8015500032295255,3.6644004963352073
2015-06-30,40.96927170916823,1.4638840020839514,96.66666666666667,98.33333333333333,1.448209982084208,19.379799900813115,0.12320640445832777,1.7675969627663306,3.6644004963352073
