as_of_date,raw,delta_12m,zscore_10y,pctl_10y
1990-02-28,11.872310879453957,-1.0708572143367228,-1.5206004904801418,0.0
1990-03-28,11.792772389871525,-0.8676054916837188,-1.544350909014206,0.0
1990-04-30,11.701594272803431,-0.9707809035993957,-1.5757095808076653,0.0
1990-05-30,11.931458226490319,-1.1221487868272781,-1.4815000964340401,2.5
1990-06-30,11.491820702108496,-0.8484530569279229,-1.641726104224928,0.0
1990-07-30,11.642142159364393,-0.8501692365933131,-1.5843338232123962,0.8333333333333334
1990-08-31,11.603290486134306,-0.8711013564087917,-1.605313547333042,0.8333333333333334
1990-09-30,11.678715200610053,-0.7141766924306054,-1.5810318321687156,2.5
1990-10-30,11.65256886627306,-0.5195279408636342,-1.6046495425172775,2.5
1990-11-30,11.664982394095,-0.5857734878602887,-1.6203926463969274,3.3333333333333335
1990-12-30,12.046952032396128,-0.6139373600776672,-1.4608174064171087,8.333333333333332
1991-01-31,12.73404515678473,-0.17707393284633532,-1.146738382674958,16.666666666666664
1991-02-28,11.164570055042137,-0.70774082441182,-1.9237491631326844,0.0
1991-03-28,11.04285818595055,-0.7499142039209747,-1.9597413502952201,0.0
1991-04-30,10.964477126106043,-0.737117146697388,-1.970952078439838,0.0
1991-05-30,11.11356788190502,-0.8178903445852992,-1.8767717694489683,1.6666666666666667
1991-06-30,10.916609303639826,-0.5752113984686709,-1.9412468607615414,0.0
1991-07-30,11.105247736569787,-0.5368944227946066,-1.8130902662195725,2.5
1991-08-31,11.10475878763663,-0.49853169849767554,-1.7872468541597084,2.5
1991-09-30,11.118453169470882,-0.5602620311391711,-1.751372438823864,5.0
1991-10-30,11.162983044691646,-0.4895858215814144,-1.695891993268023,5.833333333333333
1991-11-30,11.320200865774844,-0.34478152832015674,-1.5964185711547454,7.5
1991-12-30,11.484261268755262,-0.562690763640866,-1.4971535102118139,8.333333333333332
1992-01-31,12.3622903273011,-0.3717548294836295,-1.0288515188040985,20.833333333333336
1992-02-29,11.684272328162447,0.5197022731203091,-1.3799402718136369,14.166666666666666
1992-03-29,11.8627424972898,0.8198843113392495,-1.2664119620474958,16.666666666666664
1992-04-30,12.032878522218697,1.0684013961126535,-1.1562696853215808,19.166666666666668
1992-05-30,12.36451197084892,1.2509440889438999,-0.961676766302581,24.166666666666668
1992-06-30,12.042398406834103,1.1257891031942773,-1.126837356525786,20.0
1992-07-30,12.279793141047525,1.1745454044777386,-0.9777519919583065,23.333333333333332
1992-08-31,12.476928525562279,1.372169737925649,-0.8518988908933262,28.333333333333332
1992-09-30,12.778723866515746,1.6602706970448633,-0.6657232648431265,33.33333333333333
1992-10-30,12.87222122880945,1.7092381841178028,-0.5987669932121995,34.166666666666664
1992-11-30,13.216811319548267,1.8966104537734232,-0.3839875119716212,37.5
1992-12-30,13.818785861500036,2.334524592744774,-0.01073213590080624,45.0
1993-01-31,14.34871809253678,1.98642776523568,0.333136174353911,50.0
1993-02-28,13.355016351457744,1.6707440232952973,-0.26721944029150013,38.333333333333336
1993-03-28,13.395765180059326,1.533022682769527,-0.22985526532234923,39.166666666666664
1993-04-30,13.250596417035526,1.217717894816829,-0.309302456385881,38.333333333333336
1993-05-30,13.56122520245214,1.196713231603221,-0.09882153298548889,42.5
1993-06-30,14.014078283053468,1.9716798762193655,0.20401232559844407,50.83333333333333
1993-07-30,14.019468979953393,1.7396758389058675,0.22188066713718788,51.66666666666667
1993-08-31,14.136140193855567,1.6592116682932883,0.31266264086429507,52.5
1993-09-30,14.366976399289419,1.588252532773673,0.47899248681336215,56.666666666666664
1993-10-30,14.372375553874775,1.500154325065326,0.4969254699938938,57.49999999999999
1993-11-30,14.76536608136105,1.5485547618127828,0.7754838513101704,74.16666666666667
1993-12-30,15.430951097438966,1.6121652359389298,1.2398821040415204,94.16666666666667
1994-01-31,16.124604297298887,1.7758862047621076,1.7227554296274747,97.5
1994-02-28,14.808792528816673,1.4537761773589288,0.8268150324247355,76.66666666666667
1994-03-28,14.906921664423761,1.5111564843644345,0.8987331732487279,79.16666666666666
1994-04-30,14.870938083419622,1.6203416663840962,0.8786407470495398,78.33333333333333
1994-05-30,15.05742181078108,1.4961966083289386,1.0141897920652663,87.5
1994-06-30,14.72717414760637,0.7130958645529013,0.7871862221209187,72.5
1994-07-30,14.867857059965244,0.8483880800118513,0.8902329490081692,78.33333333333333
1994-08-31,14.940954747182788,0.8048145533272208,0.9421815440312878,83.33333333333334
1994-09-30,14.902140493601445,0.5351640943120266,0.916552373577683,80.83333333333333
1994-10-30,14.869356807260594,0.4969812533858189,0.8948123868026325,80.0
1994-11-30,15.073047277060518,0.30768119569946784,1.0349381314192752,89.16666666666667
1994-12-30,15.467022453199247,0.03607135576028142,1.3070773317987219,96.66666666666667
1995-01-31,15.691597802371406,-0.433006494927481,1.4733222787832008,96.66666666666667
1995-02-28,14.596385189880342,-0.21240733893633035,0.7065426845510684,63.33333333333333
1995-03-28,14.586955416563146,-0.31996624786061467,0.6987013445664443,63.33333333333333
1995-04-30,14.441934552133254,-0.4290035312863676,0.5968601959978626,60.0
1995-05-30,14.613401318829276,-0.4440204919518038,0.7170695389258909,64.16666666666667
1995-06-30,14.262196357316492,-0.4649777902898773,0.47212504401371236,55.833333333333336
1995-07-30,14.420431798122019,-0.4474252618432253,0.5862956001991934,59.166666666666664
1995-08-31,14.61411930420394,-0.32683544297884737,0.7227337506874848,65.83333333333333
1995-09-30,14.512329513224156,-0.38981098037728934,0.6530216821388283,60.83333333333333
1995-10-30,14.45101139419522,-0.4183454130653743,0.6164684317997012,60.83333333333333
1995-11-30,14.502782008804418,-0.5702652682560991,0.6548605282108146,61.66666666666667
1995-12-30,15.087847120654043,-0.37917533254520386,1.066486113037833,90.83333333333333
1996-01-31,15.361090173969904,-0.3305076284015023,1.2682702674579187,94.16666666666667
1996-02-29,14.119826285155668,-0.47655890472467455,0.39238105884792635,52.5
1996-03-29,14.315413122896512,-0.2715422936666343,0.5329252665574618,57.49999999999999
1996-04-30,14.432079845286916,-0.009854706846338601,0.618455054784347,61.66666666666667
1996-05-30,14.416738655181712,-0.19666266364756346,0.6118278547064889,60.83333333333333
1996-06-30,14.403464282642615,0.14126792532612242,0.6044810796391559,60.83333333333333
1996-07-30,14.541806779220446,0.12137498109842682,0.7106933119406142,67.5
1996-08-31,14.62409620934824,0.009976905144299053,0.7745362076107177,74.16666666666667
1996-09-30,14.34975264080827,-0.1625768724158867,0.5821447884745286,59.166666666666664
1996-10-30,14.350474767858055,-0.1005366263371652,0.588279030765067,60.0
1996-11-30,14.005698332775896,-0.497083676028522,0.3470937974674923,50.83333333333333
1996-12-30,14.202283311893371,-0.8855638087606721,0.49783529018625094,55.00000000000001
1997-01-31,14.806734943140631,-0.5543552308292732,0.9661242236800278,83.33333333333334
1997-02-28,13.724246198767181,-0.3955800863884864,0.1705274076008774,47.5
1997-03-28,13.58057718850949,-0.7348359343870214,0.07117036803313752,43.333333333333336
1997-04-30,13.856184375953816,-0.5758954693330995,0.2836588888499732,50.83333333333333
1997-05-30,13.127117016617229,-1.2896216385644834,-0.2526752718066284,37.5
1997-06-30,12.99450944517974,-1.4089548374628755,-0.3436720586541567,36.666666666666664
1997-07-30,13.457501120871276,-1.0843056583491695,0.01567572057692573,42.5
1997-08-31,13.048617356560161,-1.5754788527880788,-0.2872183735863523,37.5
1997-09-30,13.102669341560205,-1.2470832992480645,-0.2373393330759706,39.166666666666664
1997-10-30,12.723916583844714,-1.6265581840133407,-0.5187284299048429,32.5
1997-11-30,12.459069163547408,-1.5466291692284884,-0.7092161631684321,27.500000000000004
1997-12-30,12.724360777373267,-1.4779225345201041,-0.4939864291528352,34.166666666666664
1998-01-31,13.707086394522994,-1.0996485486176368,0.276876189926674,54.166666666666664
1998-02-28,12.404631079584037,-1.319615119183144,-0.7254482861061866,27.500000000000004
1998-03-28,12.270352228061528,-1.3102249604479628,-0.818435895659732,23.333333333333332
1998-04-30,12.073807761186268,-1.7823766147675482,-0.9573521847116958,21.666666666666668
1998-05-30,12.043531195232942,-1.0835858213842862,-0.9649439558106992,20.833333333333336
1998-06-30,11.714460282009293,-1.280049163170446,-1.1998469266136276,15.833333333333332
1998-07-30,11.86608170259892,-1.5914194182723556,-1.06638812374383,18.333333333333332
1998-08-31,11.588811254118342,-1.459806102441819,-1.257051436736729,10.0
1998-09-30,11.712044660523826,-1.3906246810363783,-1.1454099528115584,16.666666666666664
1998-10-30,11.279349198450303,-1.4445673853944108,-1.4460047919082322,7.5
1998-11-30,11.347668925991934,-1.1114002375554737,-1.3704293608959621,9.166666666666666
1998-12-30,12.064314389028672,-0.6600463883445951,-0.8255789820103151,27.500000000000004
1999-01-31,12.238996097715804,-1.4680902968071905,-0.6851289562038503,30.0
1999-02-28,10.997137870073733,-1.4074932095103048,-1.5770413650242934,1.6666666666666667
1999-03-28,11.110845869029669,-1.1595063590318588,-1.4712754619740898,5.0
1999-04-30,11.13872415322328,-0.935083607962989,-1.4298481043751408,7.5
1999-05-30,10.968530908673122,-1.0750002865598205,-1.5248314646646672,1.6666666666666667
1999-06-30,10.970996704118509,-0.7434635778907843,-1.5022606376662815,2.5
1999-07-30,10.704339891724631,-1.1617418108742896,-1.6620218831169082,0.0
1999-08-31,10.639889849643712,-0.9489214044746301,-1.6773743751148298,0.0
1999-09-30,10.377779719957502,-1.3342649405663245,-1.8227146509693357,0.0
1999-10-30,10.138125804017946,-1.141223394432357,-1.945873994057204,0.0
1999-11-30,10.246196345415687,-1.1014725805762478,-1.8371891776754494,0.8333333333333334
1999-12-30,10.628680828209497,-1.4356335608191753,-1.5560088036263906,2.5
2000-01-31,11.04742801650875,-1.1915680812070537,-1.2618476665800704,10.0
2000-02-29,9.791519157492646,-1.2056187125810869,-2.038549017584606,0.0
2000-03-29,9.624635232315132,-1.486210636714537,-2.099045057467684,0.0
2000-04-30,9.732402633410473,-1.4063215198128063,-1.9914909403098389,0.8333333333333334
2000-05-30,9.677082365823322,-1.2914485428497997,-1.983638149192369,0.8333333333333334
2000-06-30,9.34982411585342,-1.6211725882650896,-2.1379103254058327,0.0
2000-07-30,9.188676496984586,-1.515663394740045,-2.1827855932834166,0.0
2000-08-31,9.24320261913455,-1.396687230509162,-2.10336048173239,0.8333333333333334
2000-09-30,9.194470031270281,-1.1833096886872205,-2.0844435239871877,0.8333333333333334
2000-10-30,8.714947677711647,-1.4231781263062988,-2.2967569959779084,0.0
2000-11-30,8.975280385290967,-1.2709159601247197,-2.1012813601621674,0.8333333333333334
2000-12-30,9.13042386490266,-1.4982569633068366,-1.9704240367770702,1.6666666666666667
2001-01-31,8.92274952454339,-2.1246784919653603,-2.0295771128162947,0.8333333333333334
2001-02-28,8.400521347562607,-1.3909978099300382,-2.2526268790311836,0.0
2001-03-28,8.285272832850774,-1.339362399464358,-2.2579173207428016,0.0
2001-04-30,8.267845510762852,-1.464557122647621,-2.215244591984892,0.0
2001-05-30,8.373797620338753,-1.3032847454845697,-2.1145906517292548,1.6666666666666667
2001-06-30,8.139373209151564,-1.2104509067018547,-2.1809612318560725,0.0
2001-07-30,8.093585867985807,-1.0950906289987792,-2.1525359412571916,0.0
2001-08-31,8.455424539179363,-0.7877780799551868,-1.9411171756072383,5.0
2001-09-30,8.389431882973074,-0.8050381482972071,-1.9340370853074809,4.166666666666666
2001-10-30,9.17558744664785,0.4606397689362023,-1.547050246339536,10.0
2001-11-30,8.512927299650658,-0.4623530856403093,-1.8186048935624521,6.666666666666667
2001-12-30,8.637034126258278,-0.49338973864438174,-1.7304415944229121,7.5
2002-01-31,9.340636677171988,0.4178871526285981,-1.390680033886957,15.0
2002-02-28,8.081564789934184,-0.31895655762842345,-1.9104161899548573,0.0
2002-03-28,7.979227693780108,-0.3060451390706662,-1.9114096952473767,0.0
2002-04-30,7.977671921048585,-0.290173589714267,-1.8693313573434305,0.0
2002-05-30,7.94864661470987,-0.42515100562888275,-1.8390786979768945,0.0
2002-06-30,7.65970687172114,-0.47966633743042486,-1.9149017075610506,0.0
2002-07-30,7.413339769957268,-0.6802460980285385,-1.9670570152133167,0.0
2002-08-31,7.739329913025437,-0.716094626153926,-1.7933529927191212,1.6666666666666667
2002-09-30,7.204111070787743,-1.1853208121853314,-1.9575325099228764,0.0
2002-10-30,7.523215237921975,-1.6523722087258745,-1.7896427835230124,1.6666666666666667
2002-11-30,7.384312627266638,-1.1286146723840194,-1.8010081729791112,0.8333333333333334
2002-12-30,7.032781993762701,-1.604252132495577,-1.8889976019677708,0.0
2003-01-31,8.112728127927326,-1.2279085492446615,-1.4510340435470468,10.0
2003-02-28,7.084282782883043,-0.9972820070511412,-1.7966407381745595,0.8333333333333334
2003-03-28,6.9188109663449,-1.060416727435208,-1.8147517428971311,0.0
2003-04-30,7.551820279575646,-0.4258516414729385,-1.5500564025697143,5.833333333333333
2003-05-30,7.3512638590599195,-0.5973827556499502,-1.5898196163888982,3.3333333333333335
2003-06-30,7.439117825252374,-0.2205890464687652,-1.5273278702893491,5.833333333333333
2003-07-30,7.915764518979349,0.5024247490220803,-1.3318929051622157,10.0
2003-08-31,7.573567969059776,-0.16576194396566102,-1.4269368074148123,8.333333333333332
2003-09-30,7.388977249315151,0.1848661785274084,-1.4644666447029115,5.0
2003-10-30,7.548982603026457,0.025767365104481854,-1.382445314993185,8.333333333333332
2003-11-30,7.515368017506005,0.13105539023936696,-1.3698585790109512,7.5
2003-12-30,7.083207053223853,0.05042505946115128,-1.4956386478285895,1.6666666666666667
2004-01-31,8.169724448500936,0.05699632057361015,-1.0986867950588504,20.833333333333336
2004-02-29,6.877813102109764,-0.20646968077327887,-1.526714375726339,0.0
2004-03-29,6.942573747542712,0.023762781197811833,-1.4774098559967035,1.6666666666666667
2004-04-30,7.7678685538137335,0.21604827423808715,-1.168325425310316,15.833333333333332
2004-05-30,7.3104707688663995,-0.040793090193520065,-1.307943100435467,5.833333333333333
2004-06-30,7.026068382696349,-0.4130494425560256,-1.3842625653953664,2.5
