as_of_date,factor_raw,factor_pctl_5Y,factor_pctl_10Y
1995-09-30,14.512329513224156,68.33333333333333,60.83333333333333
1995-10-30,14.45101139419522,66.66666666666666,60.83333333333333
1995-11-30,14.502782008804418,66.66666666666666,61.66666666666667
1995-12-30,15.087847120654043,93.33333333333333,90.83333333333333
1996-01-31,15.361090173969904,93.33333333333333,94.16666666666667
1996-02-29,14.119826285155668,48.333333333333336,52.5
1996-03-29,14.315413122896512,51.66666666666667,57.49999999999999
1996-04-30,14.432079845286916,58.333333333333336,61.66666666666667
1996-05-30,14.416738655181712,55.00000000000001,60.83333333333333
1996-06-30,14.403464282642615,53.333333333333336,60.83333333333333
1996-07-30,14.541806779220446,65.0,67.5
1996-08-31,14.62409620934824,71.66666666666667,74.16666666666667
1996-09-30,14.34975264080827,45.0,59.166666666666664
1996-10-30,14.350474767858055,45.0,60.0
1996-11-30,14.005698332775896,30.0,50.83333333333333
1996-12-30,14.202283311893371,36.666666666666664,55.00000000000001
1997-01-31,14.806734943140631,75.0,83.33333333333334
1997-02-28,13.724246198767181,23.333333333333332,47.5
1997-03-28,13.58057718850949,21.666666666666668,43.333333333333336
1997-04-30,13.856184375953816,25.0,50.83333333333333
1997-05-30,13.127117016617229,10.0,37.5
1997-06-30,12.99450944517974,8.333333333333332,36.666666666666664
1997-07-30,13.457501120871276,16.666666666666664,42.5
1997-08-31,13.048617356560161,6.666666666666667,37.5
1997-09-30,13.102669341560205,6.666666666666667,39.166666666666664
1997-10-30,12.723916583844714,0.0,32.5
1997-11-30,12.459069163547408,0.0,27.500000000000004
1997-12-30,12.724360777373267,3.3333333333333335,34.166666666666664
1998-01-31,13.707086394522994,21.666666666666668,54.166666666666664
1998-02-28,12.404631079584037,0.0,27.500000000000004
1998-03-28,12.270352228061528,0.0,23.333333333333332
1998-04-30,12.073807761186268,0.0,21.666666666666668
1998-05-30,12.043531195232942,0.0,20.833333333333336
1998-06-30,11.714460282009293,0.0,15.833333333333332
1998-07-30,11.86608170259892,1.6666666666666667,18.333333333333332
1998-08-31,11.588811254118342,0.0,10.0
1998-09-30,11.712044660523826,1.6666666666666667,16.666666666666664
1998-10-30,11.279349198450303,0.0,7.5
1998-11-30,11.347668925991934,1.6666666666666667,9.166666666666666
1998-12-30,12.064314389028672,11.666666666666666,27.500000000000004
1999-01-31,12.238996097715804,15.0,30.0
1999-02-28,10.997137870073733,0.0,1.6666666666666667
1999-03-28,11.110845869029669,1.6666666666666667,5.0
1999-04-30,11.13872415322328,3.3333333333333335,7.5
1999-05-30,10.968530908673122,0.0,1.6666666666666667
1999-06-30,10.970996704118509,1.6666666666666667,2.5
1999-07-30,10.704339891724631,0.0,0.0
1999-08-31,10.639889849643712,0.0,0.0
1999-09-30,10.377779719957502,0.0,0.0
1999-10-30,10.138125804017946,0.0,0.0
1999-11-30,10.246196345415687,1.6666666666666667,0.8333333333333334
1999-12-30,10.628680828209497,5.0,2.5
2000-01-31,11.04742801650875,15.0,10.0
2000-02-29,9.791519157492646,0.0,0.0
2000-03-29,9.624635232315132,0.0,0.0
2000-04-30,9.732402633410473,1.6666666666666667,0.8333333333333334
2000-05-30,9.677082365823322,1.6666666666666667,0.8333333333333334
2000-06-30,9.34982411585342,0.0,0.0
2000-07-30,9.188676496984586,0.0,0.0
2000-08-31,9.24320261913455,1.6666666666666667,0.8333333333333334
2000-09-30,9.194470031270281,1.6666666666666667,0.8333333333333334
2000-10-30,8.714947677711647,0.0,0.0
2000-11-30,8.975280385290967,1.6666666666666667,0.8333333333333334
2000-12-30,9.13042386490266,3.3333333333333335,1.6666666666666667
2001-01-31,8.92274952454339,1.6666666666666667,0.8333333333333334
2001-02-28,8.400521347562607,0.0,0.0
2001-03-28,8.285272832850774,0.0,0.0
2001-04-30,8.267845510762852,0.0,0.0
2001-05-30,8.373797620338753,3.3333333333333335,1.6666666666666667
2001-06-30,8.139373209151564,0.0,0.0
2001-07-30,8.093585867985807,0.0,0.0
2001-08-31,8.455424539179363,10.0,5.0
2001-09-30,8.389431882973074,8.333333333333332,4.166666666666666
2001-10-30,9.17558744664785,20.0,10.0
2001-11-30,8.512927299650658,13.333333333333334,6.666666666666667
2001-12-30,8.637034126258278,15.0,7.5
2002-01-31,9.340636677171988,30.0,15.0
2002-02-28,8.081564789934184,0.0,0.0
2002-03-28,7.979227693780108,0.0,0.0
2002-04-30,7.977671921048585,0.0,0.0
2002-05-30,7.94864661470987,0.0,0.0
2002-06-30,7.65970687172114,0.0,0.0
2002-07-30,7.413339769957268,0.0,0.0
2002-08-31,7.739329913025437,3.3333333333333335,1.6666666666666667
2002-09-30,7.204111070787743,0.0,0.0
2002-10-30,7.523215237921975,3.3333333333333335,1.6666666666666667
2002-11-30,7.384312627266638,1.6666666666666667,0.8333333333333334
2002-12-30,7.032781993762701,0.0,0.0
2003-01-31,8.112728127927326,20.0,10.0
2003-02-28,7.084282782883043,1.6666666666666667,0.8333333333333334
2003-03-28,6.9188109663449,0.0,0.0
2003-04-30,7.551820279575646,11.666666666666666,5.833333333333333
2003-05-30,7.3512638590599195,6.666666666666667,3.3333333333333335
2003-06-30,7.439117825252374,11.666666666666666,5.833333333333333
2003-07-30,7.915764518979349,20.0,10.0
2003-08-31,7.573567969059776,16.666666666666664,8.333333333333332
2003-09-30,7.388977249315151,10.0,5.0
2003-10-30,7.548982603026457,16.666666666666664,8.333333333333332
2003-11-30,7.515368017506005,15.0,7.5
2003-12-30,7.083207053223853,3.3333333333333335,1.6666666666666667
2004-01-31,8.169724448500936,41.66666666666667,20.833333333333336
2004-02-29,6.877813102109764,0.0,0.0
2004-03-29,6.942573747542712,3.3333333333333335,1.6666666666666667
2004-04-30,7.7678685538137335,31.666666666666664,15.833333333333332
2004-05-30,7.3104707688663995,11.666666666666666,5.833333333333333
2004-06-30,7.026068382696349,5.0,2.5
2004-07-30,7.387125202900348,18.333333333333332,9.166666666666666
2004-08-31,6.842688435213727,0.0,0.0
2004-09-30,7.215556828103323,15.0,7.5
2004-10-30,7.214951958505374,15.0,7.5
2004-11-30,6.885854979175106,3.3333333333333335,1.6666666666666667
2004-12-30,7.579261728733067,40.0,20.0
2005-01-31,7.960647424406986,50.0,25.0
2005-02-28,6.899584813680688,5.0,2.5
2005-03-28,6.899731575915233,6.666666666666667,3.3333333333333335
2005-04-30,7.391852290846169,31.666666666666664,15.833333333333332
2005-05-30,6.519511985581701,0.0,0.0
2005-06-30,6.98881699248134,13.333333333333334,6.666666666666667
2005-07-30,7.2614399343851295,26.666666666666668,13.333333333333334
2005-08-31,6.611369328685325,1.6666666666666667,0.8333333333333334
2005-09-30,6.893337581041062,8.333333333333332,4.166666666666666
2005-10-30,6.576016781369404,1.6666666666666667,0.8333333333333334
2005-11-30,6.560799848834553,1.6666666666666667,0.8333333333333334
2005-12-30,6.775969590756594,6.666666666666667,3.3333333333333335
2006-01-31,6.814304217897374,8.333333333333332,4.166666666666666
2006-02-28,6.274653984179477,0.0,0.0
2006-03-28,6.174671167957357,0.0,0.0
2006-04-30,6.44457538240484,3.3333333333333335,1.6666666666666667
2006-05-30,5.855268512019865,0.0,0.0
2006-06-30,6.337176929765416,5.0,2.5
2006-07-30,6.081021050845788,1.6666666666666667,0.8333333333333334
2006-08-31,5.859920630364817,1.6666666666666667,0.8333333333333334
2006-09-30,6.105050539955158,5.0,2.5
2006-10-30,5.500554433193692,0.0,0.0
2006-11-30,5.944814557062924,5.0,2.5
2006-12-30,5.994662624030139,6.666666666666667,3.3333333333333335
2007-01-31,5.900113326086729,5.0,2.5
2007-02-28,5.402590235384367,0.0,0.0
2007-03-28,5.032056288549491,0.0,0.0
2007-04-30,5.391109722118066,1.6666666666666667,0.8333333333333334
2007-05-30,5.314093039955315,1.6666666666666667,0.8333333333333334
2007-06-30,5.456991122226318,6.666666666666667,3.3333333333333335
2007-07-30,5.166305876524623,1.6666666666666667,0.8333333333333334
2007-08-31,5.2821028554600105,3.3333333333333335,1.6666666666666667
2007-09-30,5.379447084718327,6.666666666666667,3.3333333333333335
2007-10-30,4.618365332690068,0.0,0.0
2007-11-30,5.152768855367081,3.3333333333333335,1.6666666666666667
2007-12-30,5.074197421702778,3.3333333333333335,1.6666666666666667
2008-01-31,5.301742289547833,10.0,5.0
2008-02-29,4.796685777007652,1.6666666666666667,0.8333333333333334
2008-03-29,4.581901828056034,0.0,0.0
2008-04-30,5.2054680989733,11.666666666666666,5.833333333333333
2008-05-30,5.003710865712037,5.0,2.5
2008-06-30,4.835979500301908,5.0,2.5
2008-07-30,5.096886025318017,11.666666666666666,5.833333333333333
2008-08-31,5.114035001287147,13.333333333333334,6.666666666666667
2008-09-30,4.799319239055926,5.0,2.5
2008-10-30,6.0884547767776995,45.0,22.5
2008-11-30,5.6351498729115015,35.0,17.5
2008-12-30,5.972504782822631,43.333333333333336,21.666666666666668
2009-01-31,7.620268704353691,95.0,60.0
2009-02-28,5.733387351767387,36.666666666666664,18.333333333333332
