as_of_date,factor_raw,pctl_5y,pctl_10y,delta_4q,delta_delta,slope_4q,delta_zscore,consecutive_rises
1977-03-31,34.9603263955,5.0,2.5,-1.1076467704000024,0.8618504444999999,-0.15494630815000546,-0.503680208979997,1.0
1977-04-30,34.9603263955,5.0,2.5,-1.1076467704000024,0.8618504444999999,-0.15494630815000546,-0.503680208979997,1.0
1977-05-31,34.9603263955,5.0,2.5,-1.1076467704000024,0.8618504444999999,-0.15494630815000546,-0.503680208979997,1.0
1977-06-30,35.1000091676,10.0,5.0,-0.15476441180000222,0.9528823586000001,-0.04676422523000859,0.057518577808917115,2.0
1977-07-31,35.1000091676,10.0,5.0,-0.15476441180000222,0.9528823586000001,-0.04676422523000859,0.057518577808917115,2.0
1977-08-31,35.1000091676,10.0,5.0,-0.15476441180000222,0.9528823586000001,-0.04676422523000859,0.057518577808917115,2.0
1977-09-30,35.6332227948,25.0,12.5,0.284693374699998,0.4394577865000002,0.299212748559994,0.3099512088336614,3.0
1977-10-31,35.6332227948,25.0,12.5,0.284693374699998,0.4394577865000002,0.299212748559994,0.3099512088336614,3.0
1977-11-30,35.6332227948,25.0,12.5,0.284693374699998,0.4394577865000002,0.299212748559994,0.3099512088336614,3.0
1977-12-31,35.1510137314,15.0,7.5,0.4686058411000005,0.18391246640000247,0.1105275634899985,0.4010791602032597,0.0
1978-01-31,35.1510137314,15.0,7.5,0.4686058411000005,0.18391246640000247,0.1105275634899985,0.4010791602032597,0.0
1978-02-28,35.1510137314,15.0,7.5,0.4686058411000005,0.18391246640000247,0.1105275634899985,0.4010791602032597,0.0
1978-03-31,35.4137666783,30.0,15.0,0.4534402828000026,-0.015165558299997883,0.045906346869995375,0.38344217708477746,1.0
1978-04-30,35.4137666783,30.0,15.0,0.4534402828000026,-0.015165558299997883,0.045906346869995375,0.38344217708477746,1.0
1978-05-31,35.4137666783,30.0,15.0,0.4534402828000026,-0.015165558299997883,0.045906346869995375,0.38344217708477746,1.0
1978-06-30,35.8764577383,40.0,20.0,0.7764485706999977,0.32300828789999514,0.09924577773999285,0.5475517217160569,2.0
1978-07-31,35.8764577383,40.0,20.0,0.7764485706999977,0.32300828789999514,0.09924577773999285,0.5475517217160569,2.0
1978-08-31,35.8764577383,40.0,20.0,0.7764485706999977,0.32300828789999514,0.09924577773999285,0.5475517217160569,2.0
1978-09-30,36.1802644437,50.0,25.0,0.5470416488999987,-0.229406921799999,0.3550443196899938,0.4014846863678643,3.0
1978-10-31,36.1802644437,50.0,25.0,0.5470416488999987,-0.229406921799999,0.3550443196899938,0.4014846863678643,3.0
1978-11-30,36.1802644437,50.0,25.0,0.5470416488999987,-0.229406921799999,0.3550443196899938,0.4014846863678643,3.0
1978-12-31,35.7395989878,40.0,20.0,0.5885852564000018,0.04154360750000308,0.1281303633899969,0.42364250413974824,0.0
1979-01-31,35.7395989878,40.0,20.0,0.5885852564000018,0.04154360750000308,0.1281303633899969,0.42364250413974824,0.0
1979-02-28,35.7395989878,40.0,20.0,0.5885852564000018,0.04154360750000308,0.1281303633899969,0.42364250413974824,0.0
1979-03-31,36.3419048441,60.0,37.5,0.9281381658000001,0.33955290939999827,0.09556758614999826,0.6098256619529788,1.0
1979-04-30,36.3419048441,60.0,37.5,0.9281381658000001,0.33955290939999827,0.09556758614999826,0.6098256619529788,1.0
1979-05-31,36.3419048441,60.0,37.5,0.9281381658000001,0.33955290939999827,0.09556758614999826,0.6098256619529788,1.0
1979-06-30,36.9241182785,70.0,50.0,1.047660540200006,0.11952237440000602,0.28338673606999426,0.6789255718200693,2.0
1979-07-31,36.9241182785,70.0,50.0,1.047660540200006,0.11952237440000602,0.28338673606999426,0.6789255718200693,2.0
1979-08-31,36.9241182785,70.0,50.0,1.047660540200006,0.11952237440000602,0.28338673606999426,0.6789255718200693,2.0
1979-09-30,37.9412657885,80.0,70.0,1.7610013448000004,0.7133408045999943,0.7187213836499943,1.0899407228509135,3.0
1979-10-31,37.9412657885,80.0,70.0,1.7610013448000004,0.7133408045999943,0.7187213836499943,1.0899407228509135,3.0
1979-11-30,37.9412657885,80.0,70.0,1.7610013448000004,0.7133408045999943,0.7187213836499943,1.0899407228509135,3.0
1979-12-31,38.5178701954,85.0,80.0,2.7782712075999996,1.0172698627999992,0.7545043563899941,1.6524718928180022,4.0
1980-01-31,38.5178701954,85.0,80.0,2.7782712075999996,1.0172698627999992,0.7545043563899941,1.6524718928180022,4.0
1980-02-29,38.5178701954,85.0,80.0,2.7782712075999996,1.0172698627999992,0.7545043563899941,1.6524718928180022,4.0
1980-03-31,39.2538303667,95.0,90.0,2.9119255226000007,0.13365431500000113,0.7565740671499944,1.6991381331487847,5.0
1980-04-30,39.2538303667,95.0,90.0,2.9119255226000007,0.13365431500000113,0.7565740671499944,1.6991381331487847,5.0
1980-05-31,39.2538303667,95.0,90.0,2.9119255226000007,0.13365431500000113,0.7565740671499944,1.6991381331487847,5.0
1980-06-30,40.205125094,100.0,97.5,3.2810068154999996,0.3690812928999989,0.7527538087799917,1.7984405353813275,6.0
1980-07-31,40.205125094,100.0,97.5,3.2810068154999996,0.3690812928999989,0.7527538087799917,1.7984405353813275,6.0
1980-08-31,40.205125094,100.0,97.5,3.2810068154999996,0.3690812928999989,0.7527538087799917,1.7984405353813275,6.0
1980-09-30,39.5668424483,95.0,92.5,1.6255766598000037,-1.655430155699996,0.4098211485999924,0.8766433395930389,0.0
1980-10-31,39.5668424483,95.0,92.5,1.6255766598000037,-1.655430155699996,0.4098211485999924,0.8766433395930389,0.0
