,SPX,V1_raw,V1_pctl_5y,V1_pctl_10y,V1_delta_4q,V1_delta_zscore
2005-04-30,1156.85,29.0099880642,20.0,10.0,0.18527439770000242,0.5985520067679228
2005-05-31,1191.5,29.0099880642,20.0,10.0,0.18527439770000242,0.5985520067679228
2005-06-30,1191.33,29.4207069515,30.0,15.0,1.3017179885000019,1.2000833608673989
2005-07-31,1234.18,29.4207069515,30.0,15.0,1.3017179885000019,1.2000833608673989
2005-08-31,1220.33,29.4207069515,30.0,15.0,1.3017179885000019,1.2000833608673989
2005-09-30,1228.81,29.5920230905,35.0,17.5,1.2409886525000005,1.192249898034415
2005-10-31,1207.01,29.5920230905,35.0,17.5,1.2409886525000005,1.192249898034415
2005-11-30,1249.48,29.5920230905,35.0,17.5,1.2409886525000005,1.192249898034415
2005-12-31,1248.29,29.1688719795,30.0,15.0,0.6617814150000001,0.914626660966844
2006-01-31,1280.08,29.1688719795,30.0,15.0,0.6617814150000001,0.914626660966844
2006-02-28,1280.66,29.1688719795,30.0,15.0,0.6617814150000001,0.914626660966844
2006-03-31,1294.82,28.9874100795,20.0,10.0,-0.022577984700003384,0.5797479505503945
2006-04-30,1310.61,28.9874100795,20.0,10.0,-0.022577984700003384,0.5797479505503945
2006-05-31,1270.09,28.9874100795,20.0,10.0,-0.022577984700003384,0.5797479505503945
2006-06-30,1270.2,29.1849840089,40.0,20.0,-0.23572294260000248,0.48211271833529723
2006-07-31,1276.66,29.1849840089,40.0,20.0,-0.23572294260000248,0.48211271833529723
2006-08-31,1303.82,29.1849840089,40.0,20.0,-0.23572294260000248,0.48211271833529723
2006-09-30,1335.85,29.6471851716,55.00000000000001,27.500000000000004,0.05516208110000065,0.6604780142968936
2006-10-31,1377.94,29.6471851716,55.00000000000001,27.500000000000004,0.05516208110000065,0.6604780142968936
2006-11-30,1400.63,29.6471851716,55.00000000000001,27.500000000000004,0.05516208110000065,0.6604780142968936
2006-12-31,1418.3,29.3947410319,45.0,22.5,0.22586905240000021,0.767449774602468
2007-01-31,1438.24,29.3947410319,45.0,22.5,0.22586905240000021,0.767449774602468
2007-02-28,1406.82,29.3947410319,45.0,22.5,0.22586905240000021,0.767449774602468
2007-03-31,1420.86,29.7714269145,65.0,32.5,0.7840168350000027,1.0605743299115329
2007-04-30,1482.37,29.7714269145,65.0,32.5,0.7840168350000027,1.0605743299115329
2007-05-31,1530.62,29.7714269145,65.0,32.5,0.7840168350000027,1.0605743299115329
2007-06-30,1503.35,30.320876074,75.0,37.5,1.135892065100002,1.2203831596428403
2007-07-31,1455.27,30.320876074,75.0,37.5,1.135892065100002,1.2203831596428403
2007-08-31,1473.99,30.320876074,75.0,37.5,1.135892065100002,1.2203831596428403
2007-09-30,1526.75,31.0367328868,85.0,42.5,1.389547715199999,1.3093062292397257
2007-10-31,1549.38,31.0367328868,85.0,42.5,1.389547715199999,1.3093062292397257
2007-11-30,1481.14,31.0367328868,85.0,42.5,1.389547715199999,1.3093062292397257
2007-12-31,1468.36,32.0231094642,95.0,47.5,2.6283684322999967,1.853289932175834
2008-01-31,1378.55,32.0231094642,95.0,47.5,2.6283684322999967,1.853289932175834
2008-02-29,1330.63,32.0231094642,95.0,47.5,2.6283684322999967,1.853289932175834
2008-03-31,1322.7,32.7985897317,100.0,55.00000000000001,3.027162817199997,1.927085812322401
2008-04-30,1385.59,32.7985897317,100.0,55.00000000000001,3.027162817199997,1.927085812322401
2008-05-31,1400.38,32.7985897317,100.0,55.00000000000001,3.027162817199997,1.927085812322401
