date,st_debt
2006-12-01,29.394743707222364
2007-03-01,29.771412810781342
2007-06-01,30.320871151559185
2007-09-01,31.036722110682707
2007-12-01,32.02310426604378
2008-03-01,32.7985848206543
2008-06-01,33.30231014040436
2008-09-01,33.118722588931256
2008-12-01,33.74524577947552
2009-03-01,33.512013172761485
2009-06-01,31.45601721343648
2009-09-01,30.06161915068197
2009-12-01,28.39448737628004
2010-03-01,26.539173182170405
2010-06-01,25.602818359706397
2010-09-01,24.91814558712264
2010-12-01,24.68552286736374
2011-03-01,23.252327417022165
2011-06-01,23.710609589987023
2011-09-01,24.193273463516647
2011-12-01,25.02399321595566
2012-03-01,25.582351789732368
2012-06-01,25.38901615617286
2012-09-01,25.586788689964347
2012-12-01,25.80818926815339
2013-03-01,25.567002829725386
2013-06-01,25.54448711033292
2013-09-01,25.968676179868915
2013-12-01,25.775778615021743
2014-03-01,25.89167007074156
2014-06-01,26.481265248266844
2014-09-01,26.43957042126729
2014-12-01,26.928785897312103
2015-03-01,26.95467224980743
2015-06-01,26.96185780133802
2015-09-01,26.497622677369165
2015-12-01,26.083269475168308
2016-03-01,25.748450811029045
2016-06-01,25.87192474415022
2016-09-01,25.37315840639674
2016-12-01,24.90112913615961
2017-03-01,24.54338842231396
2017-06-01,24.936111791526237
2017-09-01,25.068531423695145
2017-12-01,25.027180802318107
2018-03-01,25.57772025582797
2018-06-01,25.636047966754656
2018-09-01,27.91212328651437
2018-12-01,27.78542389273503
2019-03-01,28.10936114817813
2019-06-01,28.596792360368127
2019-09-01,28.52169843041061
2019-12-01,28.01753853907602
2020-03-01,27.927301263558736
2020-06-01,31.15164204081204
2020-09-01,29.7730185014893
2020-12-01,28.265718670418515
2021-03-01,27.745338348740727
2021-06-01,27.88669226779169
2021-09-01,28.47613872403389
2021-12-01,28.35175101751496
2022-03-01,29.204927677607763
2022-06-01,30.100940585959613
2022-09-01,30.827874228381823
2022-12-01,30.76740274387852
2023-03-01,30.55388023270222
2023-06-01,30.192150533250672
2023-09-01,29.977289086834592
2023-12-01,29.87573393932018
2024-03-01,29.80791586516155
2024-06-01,29.74685342234476
2024-09-01,29.824574099687627
2024-12-01,29.465186045083964
2025-03-01,29.11906193022932
2025-06-01,28.9231753312032
2025-09-01,29.3512127858796
2025-12-01,29.189290142802903
