date,ig_oas_raw,us_10y,ig_spread_pctl_1y,ig_spread_pctl_5y,ig_spread_zscore_3m,ig_spread_zscore_1y,ig_spread_zscore_3y,ig_spread_delta_zscore_3m,ig_spread_delta_zscore_1y
2000-08-16,1.68,5.83,75.69721115537848,92.48434237995825,-0.752465783874127,1.2820523255586538,1.8251989047934403,-1.5576732093235315,0.2914125761999995
2000-08-17,1.68,5.81,75.2988047808765,92.38790406673618,-0.752465783874127,1.2715036029372264,1.8204100945906325,-1.5147040758876837,0.2539180297020074
2000-08-18,1.69,5.78,81.67330677290838,94.0625,-0.3791953556530967,1.3050044201811553,1.8476601842984695,-1.4941578171436662,0.3213889760569866
2000-08-21,1.7,5.79,88.84462151394422,95.9417273673257,-0.011863828504793778,1.3378571217532904,1.873826795806911,-1.4102585975091253,0.38751154500789275
2000-08-22,1.71,5.78,90.83665338645417,96.46569646569647,0.386202123863927,1.370146110686089,1.8997965260366463,-1.63717023317161,0.38058711030185943
2000-08-23,1.71,5.73,90.43824701195219,96.36552440290758,0.40209796909901724,1.3582855685362745,1.894615888962031,-1.5265906822920492,0.3789854833299744
2000-08-24,1.72,5.73,94.42231075697211,97.40663900414937,0.809982661922783,1.3899439822077464,1.921408450404886,-1.498949855041892,0.44556239312412615
2000-08-25,1.71,5.73,89.64143426294821,96.16580310880829,0.44763716794862135,1.3344784051264116,1.8842031618722304,-1.498532031425577,0.4116883077175095
2000-08-28,1.72,5.78,94.02390438247012,97.30848861283644,0.9335399363362437,1.3661866944474212,1.9109798621964786,-1.5876426946073559,0.4779537820381319
2000-08-29,1.71,5.81,88.84462151394422,95.96690796277146,0.596430168034259,1.3112602529256632,1.8737698708204988,-1.5834019174712488,0.4438430666540192
2000-08-30,1.71,5.81,88.44621513944223,95.86776859504133,0.737860730741733,1.3000993655552908,1.8687218876724978,-1.594658127872317,0.47801006642094723
2000-08-31,1.72,5.73,93.62549800796812,97.21362229102168,1.3575128211213363,1.3319216419628048,1.8956357666205759,-1.3396989703691842,0.5078061054357343
2000-09-01,1.72,5.68,93.22709163346613,97.11340206185567,1.4729320988482766,1.3204821412220893,1.8902750860853528,-1.305296442066306,0.5053097321184665
2000-09-04,1.72,,92.82868525896414,97.01338825952625,1.4729320988482766,1.3091938704619777,1.884962694423911,-1.1083076799839073,0.5028439783932657
2000-09-05,1.72,5.69,92.43027888446214,96.91358024691358,1.5077684523541117,1.298052627870919,1.8794008698428992,-1.1384032488735687,0.5001113034021547
2000-09-06,1.72,5.72,92.03187250996015,96.81397738951696,1.5077684523541117,1.2870543634168798,1.8739833033602986,-1.0592815320293572,0.4975055765151366
2000-09-07,1.72,5.76,91.63346613545816,96.71457905544148,1.5077684523541117,1.2761899873337126,1.8686129540514547,-1.0371562131367518,0.5309378426862057
