date,hy_oas_raw,us_10y,hy_spread_pctl_1y,hy_spread_pctl_5y,hy_spread_zscore_3m,hy_spread_zscore_1y,hy_spread_zscore_3y,hy_spread_delta_zscore_3m,hy_spread_delta_zscore_1y
2015-02-11,4.76,2.0,77.68924302788844,33.836378077839555,-1.0076182793292086,0.9654960059437522,-0.056532826492891486,-0.9649464583379112,1.5336848352383332
2015-02-12,4.74,1.99,76.89243027888446,32.56552819698173,-1.0990310865555457,0.9250493336032961,-0.07809517039123065,-1.1151612518623288,1.4559487316179116
2015-02-13,4.71,2.02,76.49402390438247,30.818109610802225,-1.2166440220188617,0.8681325193460181,-0.11123156717328844,-1.27664135121294,1.4902712027793323
2015-02-16,4.69,,76.09561752988047,29.94440031771247,-1.3117848254990594,0.8282192638814108,-0.13264798452676588,-1.075987490572272,1.474567608625664
2015-02-17,4.57,2.14,72.50996015936255,25.734710087370928,-1.736932120613467,0.6225927158899353,-0.2728354692584683,-1.2635691483892417,1.3311487269550457
2015-02-18,4.62,2.07,73.30677290836654,27.402700555996823,-1.5797132469507604,0.7004866672920661,-0.21215808877548684,-1.1690594291462588,1.3798896757190025
2015-02-19,4.58,2.11,72.50996015936255,26.131850675139003,-1.7253980433417773,0.6285638252102953,-0.2568686713755382,-1.2844939614519557,1.305526779256734
2015-02-20,4.53,2.13,68.92430278884463,23.669579030976966,-1.8938434368124497,0.540391099185542,-0.3134761674593122,-1.3541900258440656,1.2459369167203993
2015-02-23,4.56,2.06,70.5179282868526,25.416997617156472,-1.7697783655657666,0.5858350777154888,-0.2760144203862749,-1.5303200019379026,1.2363195162288494
2015-02-24,4.58,1.99,72.11155378486056,26.290706910246225,-1.6809978469018092,0.6146232612885137,-0.2502498718749483,-1.5655289122016778,1.2153572125781973
2015-02-25,4.54,1.96,68.52589641434263,24.384432088959493,-1.7652645641931428,0.5437761156245107,-0.295414922321141,-2.047662649073273,1.1324823416617913
2015-02-26,4.43,2.03,64.14342629482071,22.00158856235107,-2.0497978119041207,0.35663243956452484,-0.42365574095983266,-2.1940446409748118,1.0544753082156115
2015-02-27,4.43,2.0,63.745019920318725,22.00158856235107,-1.9708658257392746,0.3530117210234589,-0.4216037660665591,-2.1285191920391755,1.0800467993364622
2015-02-28,4.46,,65.33864541832669,23.034154090548054,-1.8099351092120928,0.398682369093173,-0.3838866739753813,-2.0999209784665425,1.228535701551999
2015-03-02,4.38,2.08,60.1593625498008,20.651310563939635,-1.9806873709952038,0.2611277317972112,-0.4770772032821734,-2.03148217668657,1.0880905849595162
2015-03-03,4.38,2.12,59.76095617529881,20.651310563939635,-1.8983698349670184,0.2572233175828279,-0.4750094334699164,-2.275685866373132,1.1131469763206927
2015-03-04,4.44,2.12,64.14342629482071,22.478157267672756,-1.6519167995894686,0.35349343013645934,-0.4012861777237676,-2.6501226922283094,1.192188148120044
2015-03-05,4.46,2.11,64.9402390438247,23.272438443208895,-1.5310701211050943,0.3825435917705024,-0.3753549360321669,-2.94435202099111,1.232130184274737
2015-03-06,4.42,2.24,61.75298804780876,21.76330420969023,-1.5764268010639906,0.3111707834013647,-0.42127206510900805,-3.0317408395794954,1.1653034780638976
2015-03-09,4.51,2.2,66.53386454183267,23.98729150119142,-1.2847213071540433,0.45787469856771856,-0.3112863976416129,-3.334097557693777,1.254547976547999
2015-03-10,4.66,2.14,73.70517928286853,29.78554408260524,-0.8417995133431723,0.704352186441006,-0.1289938321428082,-3.0852464157991193,1.4681281755134106
